id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[7.8095011711120605, 4.783566474914551, 1.060483455657959, -6.892884254455566, -5.962473392486572, -2.6743295192718506, -4.72347354888916]",tensor(0.9526)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[3.0599021911621094, -3.912188768386841, -2.6240968704223633, -4.123141765594482, 4.515953540802002, 2.512455701828003, -4.680156707763672]",tensor(0.7303)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-0.17000815272331238, -1.8640090227127075, -3.940741777420044, -2.9746406078338623, 3.9133310317993164, 3.7913501262664795, -2.8968214988708496]",tensor(0.5242)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-3.4256043434143066, -1.8387821912765503, -2.7572202682495117, -1.6790827512741089, -0.4410962164402008, 9.748319625854492, -3.8806400299072266]",tensor(0.9999)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-3.213904857635498, -4.160754203796387, -3.0578131675720215, -0.11528840661048889, 5.966900825500488, -3.1077022552490234, 2.6409873962402344]",tensor(0.9628)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-3.498751163482666, -2.162973403930664, -3.0200467109680176, -1.180808663368225, 3.1006951332092285, 5.640132904052734, -2.865954637527466]",tensor(0.9252)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[1.6105939149856567, -3.565779447555542, -4.168645858764648, -3.847257137298584, 6.562771797180176, 1.5136678218841553, -2.864105463027954]",tensor(0.9865)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,6,"[-2.503816604614258, -5.188715934753418, 0.13008680939674377, -3.113558053970337, 0.859229326248169, -2.9028050899505615, 7.566247940063477]",tensor(0.9981)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,4,"[3.2101786136627197, -0.4630012512207031, -4.171110153198242, -1.9432460069656372, 3.7446470260620117, -0.8783686757087708, -4.148736953735352]",tensor(0.6193)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[4.593858242034912, 0.1364191174507141, 0.44664621353149414, -2.7045207023620605, -3.625314712524414, -6.146947383880615, 1.4225425720214844]",tensor(0.9343)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-2.6393470764160156, -6.046440124511719, -5.082563400268555, 1.435937523841858, 8.622574806213379, -0.3765319287776947, -2.1508147716522217]",tensor(0.9991)
