id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[10.17548656463623, 9.93431282043457, 0.7534631490707397, -7.339977741241455, -7.09326171875, -4.0206074714660645, -9.517874717712402]",tensor(0.5600)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[-4.292623043060303, -7.097936630249023, -4.88875675201416, -3.2623491287231445, 6.095621585845947, 5.745415687561035, -0.5837628245353699]",tensor(0.5862)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-1.1658669710159302, -2.3015663623809814, -3.3112406730651855, -0.9405708909034729, 4.742990016937256, 0.9400492310523987, -2.085891008377075]",tensor(0.9702)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-4.698081970214844, -4.033384323120117, -3.2847254276275635, -0.13991709053516388, 0.49701038002967834, 9.535377502441406, -5.584957599639893]",tensor(0.9998)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-3.1383426189422607, -3.0700175762176514, -1.361241340637207, -2.3815219402313232, 3.2336626052856445, -0.2733003497123718, 3.141003131866455]",tensor(0.5105)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,4,"[-2.6935875415802, -4.692362308502197, -4.160482406616211, 1.7169283628463745, 4.7959465980529785, 1.1547539234161377, -3.286872625350952]",tensor(0.9317)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-1.081864356994629, -5.090605735778809, -5.0197038650512695, -1.5551543235778809, 7.587131500244141, 1.7885253429412842, -3.6600141525268555]",tensor(0.9967)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,6,"[-0.17983967065811157, -6.792348861694336, -1.5992791652679443, -4.84394645690918, -1.4038830995559692, -0.46334344148635864, 5.870809078216553]",tensor(0.9946)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,4,"[2.918102502822876, -1.773547649383545, -4.897944450378418, -0.6975854635238647, 5.484725475311279, -2.8424456119537354, -4.811050891876221]",tensor(0.9260)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[3.600337028503418, 2.8969919681549072, -2.142672061920166, -1.8956321477890015, -1.6635690927505493, -4.810653209686279, -2.7589588165283203]",tensor(0.6625)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-1.1299350261688232, -5.6301589012146, -6.984919548034668, 3.1858747005462646, 6.776525974273682, -0.5053602457046509, -4.26370096206665]",tensor(0.9721)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,5,"[-2.0962905883789062, -3.0181288719177246, -2.907249689102173, -0.8793781399726868, 2.93849515914917, 4.6492838859558105, -3.657000780105591]",tensor(0.8424)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[2.7384097576141357, 0.6368228793144226, 1.301222562789917, 1.547822117805481, -6.404703617095947, -1.9017575979232788, -3.710843324661255]",tensor(0.5969)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-1.688225507736206, -3.797447443008423, -5.22220516204834, 5.561182498931885, 1.6444677114486694, -0.8596577644348145, -3.8484065532684326]",tensor(0.9781)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-1.9830721616744995, -3.669093370437622, -3.284592628479004, -0.9300587177276611, 4.268187522888184, -2.4439871311187744, 1.9379549026489258]",tensor(0.9035)
