id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[8.267529487609863, 4.883976459503174, -4.793869495391846, -7.064042091369629, -7.082447052001953, -2.9997072219848633, -1.987048625946045]",tensor(0.9671)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,5,"[0.07474600523710251, -6.748258113861084, -9.519648551940918, -5.274389743804932, 5.093723297119141, 5.652844429016113, -6.522045135498047]",tensor(0.6347)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-1.0871902704238892, -5.588660717010498, -2.011883497238159, -3.3545777797698975, 1.750237226486206, 0.6907963156700134, -3.3675060272216797]",tensor(0.6939)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-4.408144474029541, -2.9387853145599365, -6.852130889892578, -1.1325278282165527, 1.4801863431930542, 6.364445209503174, -8.26596450805664]",tensor(0.9918)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[0.1943400651216507, -2.479835033416748, -4.729759693145752, -4.6111040115356445, 2.8612990379333496, -2.8430802822113037, -2.6346054077148438]",tensor(0.9236)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-0.7252722382545471, -6.571279048919678, -3.3010740280151367, -4.831455230712891, 0.8151228427886963, 5.2714104652404785, -4.794685363769531]",tensor(0.9858)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-3.8861043453216553, -11.92033863067627, -10.21019458770752, -4.4849700927734375, 8.879836082458496, 5.571289539337158, -4.96612024307251]",tensor(0.9647)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,6,"[-2.4583840370178223, -6.331688404083252, 4.516272068023682, -4.425924301147461, -2.6005027294158936, -5.907992362976074, 5.676908493041992]",tensor(0.7611)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,0,"[2.7383503913879395, 1.4742885828018188, -2.5796186923980713, -1.0717933177947998, -1.9163742065429688, -3.0080184936523438, -3.4142041206359863]",tensor(0.7551)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[4.886309623718262, 1.4807114601135254, -0.44725900888442993, -4.429817199707031, -7.228370666503906, -2.4784891605377197, -1.7516294717788696]",tensor(0.9615)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-4.702295780181885, -7.516206741333008, -6.018076419830322, 4.681891441345215, 5.711150646209717, -2.6335673332214355, -6.348947048187256]",tensor(0.7366)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,4,"[-0.08667273074388504, -4.875314235687256, -7.170009136199951, 0.8022474050521851, 3.8432083129882812, -0.6163710355758667, -6.084621906280518]",tensor(0.9266)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[6.081887722015381, -3.0020456314086914, 2.0723822116851807, -0.7251071333885193, -6.735548496246338, -4.325615406036377, -3.4046568870544434]",tensor(0.9809)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-5.665959358215332, -7.27972936630249, -4.117882251739502, 5.051346778869629, -0.19487938284873962, -0.734057605266571, -3.6291770935058594]",tensor(0.9914)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-4.291774272918701, -11.69617748260498, -2.769651174545288, 0.01949043944478035, 5.535782814025879, -4.726565837860107, -0.14927682280540466]",tensor(0.9923)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,4,"[0.20945239067077637, -4.287502765655518, -5.402461528778076, -3.0891380310058594, 4.165194988250732, 2.079634428024292, -5.065624237060547]",tensor(0.8738)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-2.927335739135742, -4.580267429351807, -3.825749635696411, -2.5058369636535645, 1.654184103012085, 0.7517381906509399, -6.332694053649902]",tensor(0.6955)
