id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[4.817593574523926, 4.7122979164123535, 0.6553789377212524, -6.2293901443481445, -4.558197498321533, -0.1803133189678192, -4.765216827392578]",tensor(0.5201)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[-1.3619182109832764, -2.2886815071105957, -3.2461564540863037, -3.085453748703003, 3.9817898273468018, 1.4096211194992065, -0.641947329044342]",tensor(0.9137)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-0.05709511414170265, -5.532918453216553, -4.122138023376465, -4.9761834144592285, 7.976317405700684, 1.9407919645309448, -1.793641209602356]",tensor(0.9972)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-4.577388763427734, -3.9135372638702393, -2.2900304794311523, -0.9466659426689148, 1.0845909118652344, 7.967983245849609, -2.5724854469299316]",tensor(0.9988)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,3,"[-0.8765794038772583, -0.2410745620727539, -2.471005439758301, 0.7595490217208862, 0.716909646987915, -3.6586718559265137, 0.08786048740148544]",tensor(0.3244)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-1.1967662572860718, -1.314595341682434, -1.5944006443023682, -0.0036379098892211914, 1.4057435989379883, 2.001160144805908, -3.607771873474121]",tensor(0.5573)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[0.5256294012069702, -5.983205318450928, -5.344348430633545, -3.8437247276306152, 9.822798728942871, 3.3975489139556885, -3.5718417167663574]",tensor(0.9983)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,2,"[-2.7801902294158936, -5.4589409828186035, 8.326142311096191, -6.500148773193359, -3.4142887592315674, -2.212989330291748, 3.1238386631011963]",tensor(0.9945)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,5,"[0.584531307220459, 1.4906421899795532, -1.8984980583190918, -1.5895256996154785, -0.20948320627212524, 1.7838222980499268, -3.5898234844207764]",tensor(0.4449)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[6.836667060852051, 1.5390928983688354, -0.6231879591941833, -3.1511592864990234, -5.686657428741455, -6.969879627227783, -0.4859888553619385]",tensor(0.9937)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-2.5084056854248047, -4.960792541503906, -4.736816883087158, 1.9094574451446533, 6.801626682281494, -1.1398253440856934, -3.074803352355957]",tensor(0.9920)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,4,"[-0.6896897554397583, -3.082287549972534, -3.57277250289917, -3.5625, 5.487057209014893, 4.812304973602295, -3.207775115966797]",tensor(0.6614)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[7.930366516113281, 3.044215440750122, 0.3016502857208252, -2.6332459449768066, -7.044363498687744, -6.735858917236328, -3.701767921447754]",tensor(0.9920)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-3.859772205352783, -3.5547683238983154, -2.6236071586608887, 5.714567184448242, 0.1600227952003479, 0.4805828928947449, -1.1653796434402466]",tensor(0.9895)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-2.4069294929504395, -5.002293109893799, -3.3506596088409424, -1.6435966491699219, 6.341843605041504, -1.2704039812088013, 1.1364134550094604]",tensor(0.9935)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,4,"[0.1907626986503601, -2.9591562747955322, -3.7039906978607178, -3.528306007385254, 6.126083850860596, 2.9767062664031982, -2.8558030128479004]",tensor(0.9561)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-2.811275005340576, -2.4907352924346924, -3.6431849002838135, 2.921492338180542, 3.052952527999878, -2.2490220069885254, -1.0269447565078735]",tensor(0.5245)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-3.7605791091918945, -1.8233805894851685, 1.3155131340026855, -0.5528104305267334, -3.3860085010528564, 7.1832404136657715, -3.789457082748413]",tensor(0.9966)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,3,"[-1.7966389656066895, -3.776944875717163, -3.902428388595581, 3.3074874877929688, 3.1914074420928955, 0.6905558109283447, -3.5129764080047607]",tensor(0.5071)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,5,"[-3.396195650100708, -1.030855655670166, 4.951426029205322, -4.348402976989746, -4.944674015045166, 6.3865838050842285, -2.4111385345458984]",tensor(0.8072)
