id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[5.800240993499756, 5.284435272216797, -2.6817281246185303, -6.9964118003845215, -9.478655815124512, 0.952277660369873, -3.531235456466675]",tensor(0.6230)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[3.6665053367614746, -8.013456344604492, -5.545711517333984, -10.867376327514648, 5.764875411987305, -0.9707399606704712, -3.4002022743225098]",tensor(0.8897)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,5,"[-2.830984592437744, -7.7973737716674805, -1.3237603902816772, -4.466802597045898, 2.1206252574920654, 3.633481979370117, -5.630270004272461]",tensor(0.8135)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-6.3660149574279785, -6.148266315460205, -12.482346534729004, -2.3982412815093994, 4.334957122802734, 7.219923973083496, -8.586567878723145]",tensor(0.9470)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,6,"[-8.995386123657227, -6.140360355377197, -0.007516220211982727, -5.544283866882324, 2.254042863845825, -2.997645378112793, 3.4445033073425293]",tensor(0.7476)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-3.1868622303009033, -4.315485954284668, -4.250833511352539, -5.6547064781188965, 0.3520795404911041, 4.470465183258057, -5.024773597717285]",tensor(0.9831)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-5.027650356292725, -3.477546453475952, -7.591991424560547, -5.436685562133789, 6.501691818237305, 4.128208160400391, -4.0935492515563965]",tensor(0.9147)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,6,"[-7.07798433303833, -7.405799388885498, 6.076498985290527, -5.452776908874512, -3.5934336185455322, -3.5274245738983154, 6.506228446960449]",tensor(0.6058)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[0.1663721799850464, 3.185774803161621, -5.881511688232422, -1.3069525957107544, -1.3056557178497314, 1.7278844118118286, -8.303999900817871]",tensor(0.7668)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[8.081400871276855, 0.3919518291950226, -4.133939743041992, -2.0307528972625732, -5.326502323150635, -7.248286247253418, -2.5671095848083496]",tensor(0.9995)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-3.6536028385162354, -10.415348052978516, -9.290762901306152, 3.201209306716919, 6.570374011993408, -0.5407854318618774, -7.298923969268799]",tensor(0.9659)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,4,"[-1.600536584854126, -5.9337687492370605, -5.383587837219238, 1.4732776880264282, 2.743211507797241, -0.3397789001464844, -6.24320650100708]",tensor(0.7461)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[5.6417717933654785, -4.752619743347168, 1.2814007997512817, 2.160353422164917, -7.793090343475342, -5.3621931076049805, -4.024470806121826]",tensor(0.9582)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-4.546090126037598, -4.795753002166748, -3.2807350158691406, 3.732065439224243, -2.1518242359161377, -1.0532091856002808, -2.6989290714263916]",tensor(0.9861)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-4.284342288970947, -7.754053115844727, -5.706916332244873, -0.7082194685935974, 2.790121555328369, -2.7011706829071045, -0.13818997144699097]",tensor(0.9183)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,4,"[0.8331249952316284, -3.3524937629699707, -5.099088191986084, -6.470582485198975, 3.3462889194488525, 0.8950437307357788, -3.3145196437835693]",tensor(0.8547)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-6.3808417320251465, -1.1896816492080688, -5.00855827331543, 0.5660738348960876, 1.5879935026168823, -2.24452805519104, -2.1526260375976562]",tensor(0.6806)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-3.274967908859253, -2.3008649349212646, -0.6095835566520691, -5.560641765594482, -3.3405768871307373, 9.280372619628906, -6.085281848907471]",tensor(0.9999)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,5,"[-5.728108882904053, -7.469931602478027, -9.340534210205078, 0.1505936235189438, 2.953547477722168, 5.929640769958496, -7.959092140197754]",tensor(0.9487)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,2,"[-6.591040134429932, -7.17872428894043, 8.896026611328125, -9.656752586364746, -4.152228355407715, 3.0105106830596924, -0.1583721935749054]",tensor(0.9971)
fear_39557e046a2d525841885d5ec2371af7,40-49,Male,White,fear,2,2,"[-3.303518772125244, -4.914364814758301, 2.9486582279205322, -11.482588768005371, 2.768846035003662, -0.30992335081100464, -1.282406210899353]",tensor(0.5289)
happy_02a9db2ba06584040b93452eb83223a8,70+,Female,White,happy,3,3,"[-4.271556377410889, -4.818153381347656, -3.3069968223571777, 7.302744388580322, -8.057924270629883, -2.8582184314727783, 0.31387948989868164]",tensor(0.9990)
angry_12d16864047ae490e5a6856daa9cba20,20-29,Male,White,angry,0,4,"[-8.812156677246094, -6.797443389892578, -9.12844467163086, 5.783222198486328, 5.844396114349365, -3.9995834827423096, -4.302444934844971]",tensor(0.5153)
sad_dd3d9f690b55b0595e69952b82f47237,20-29,Female,White,sad,5,5,"[-5.312961101531982, -5.995255947113037, -2.508612632751465, 0.8610615730285645, -0.7748962044715881, 4.882753372192383, -5.174789905548096]",tensor(0.9784)
sad_d8828cde6855e18c8a87bed6af0d1510,20-29,Female,White,sad,5,3,"[0.018087927252054214, -2.7640509605407715, -4.902334213256836, 3.5750439167022705, -5.022870063781738, -0.6822401285171509, -6.6567702293396]",tensor(0.9570)
sad_abcecb40c3d45bc9ed36256231b81a92,20-29,Male,White,sad,5,4,"[-1.7419573068618774, -2.5913212299346924, -4.716681003570557, -1.9383870363235474, 0.8899970054626465, -0.826850414276123, 0.10375789552927017]",tensor(0.5553)
angry_565cf5ca201f3b3202bd8bf46e10d011,20-29,Male,White,angry,0,4,"[1.0279260873794556, -6.822939872741699, -7.149639129638672, -4.375119686126709, 3.713192939758301, 0.22572708129882812, -5.6501994132995605]",tensor(0.9097)
neutral_43d0852bcf5dc649d42bbc5a84cb08b3,20-29,Female,White,neutral,4,4,"[-1.025124430656433, -7.586698532104492, -4.81197452545166, -3.0586249828338623, 5.916268348693848, -0.7959267497062683, -3.4261460304260254]",tensor(0.9976)
happy_696cd15844d851ff470324433d58a4b0,20-29,Male,White,happy,3,3,"[-6.539607524871826, -6.829122543334961, -2.6015899181365967, 6.52255916595459, -0.012657776474952698, -4.351444721221924, -4.349071025848389]",tensor(0.9984)
disgust_c29db77f146467675b9a547a32f78fe2,30-39,Male,Middle Eastern,disgust,1,2,"[-2.552384376525879, -1.8476616144180298, 4.127406120300293, -9.913411140441895, -3.067819833755493, -2.4364001750946045, -2.684368133544922]",tensor(0.9930)
neutral_0476ad07c5310846beeff6457b2bf43a,30-39,Male,White,neutral,4,4,"[-6.617959499359131, -9.968151092529297, -10.99205207824707, 1.1434680223464966, 9.039894104003906, -8.205377578735352, -4.067386150360107]",tensor(0.9996)
neutral_3d9f9c418a11c8a91b213f5496d97533,00-02,Female,East Asian,neutral,4,4,"[-7.575117111206055, -8.402597427368164, 0.37090110778808594, -6.263810634613037, 3.2367751598358154, -2.378164052963257, 2.7296125888824463]",tensor(0.6014)
sad_652893c8033269a4b24b6b364cdabb83,03-09,Female,White,sad,5,5,"[-1.9102317094802856, -3.8208675384521484, 1.1321007013320923, -5.980490207672119, -4.488068103790283, 9.214378356933594, -6.110351085662842]",tensor(0.9997)
angry_9b1fd1d4116b851364760884d7054205,20-29,Male,White,angry,0,0,"[5.11777925491333, -1.4316376447677612, 1.8227064609527588, -0.41137245297431946, -6.3919758796691895, -5.717566013336182, -1.6621379852294922]",tensor(0.9582)
neutral_d15d502b9f88281164f98e049d82925d,40-49,Male,White,neutral,4,4,"[-4.2509965896606445, -4.684426307678223, -5.214502334594727, -2.3588812351226807, 2.8471739292144775, 1.680363416671753, -2.9410743713378906]",tensor(0.7567)
fear_520946fe2484192e409466f3000b1336,40-49,Male,Latino_Hispanic,fear,2,4,"[-0.36812445521354675, -8.11257266998291, -2.518908739089966, -3.8923518657684326, 3.606069803237915, -0.7071553468704224, -5.410251140594482]",tensor(0.9661)
happy_41e82c1791f48cca03c7421aeb8dcf40,10-19,Female,Black,happy,3,3,"[-4.482858657836914, -4.0019989013671875, -5.83615255355835, 7.365852355957031, -1.5786521434783936, -5.416196346282959, -3.3566083908081055]",tensor(0.9998)
sad_c3f84c5cd353aa656e452524fe2573d8,60-69,Female,Latino_Hispanic,sad,5,5,"[-3.3026084899902344, -0.20355209708213806, -6.518111705780029, -5.759669303894043, -0.3644356429576874, 4.794353485107422, -4.556171894073486]",tensor(0.9872)
sad_99ce705dcad1eae1529aab03c6b59358,40-49,Male,White,sad,5,4,"[-6.94196081161499, -7.117264747619629, 1.4221218824386597, -3.8249900341033936, 3.349278211593628, -1.689392328262329, -1.6027261018753052]",tensor(0.8621)
neutral_61d116bcb660d2fcbf5584ae4e7ccd9d,10-19,Female,White,neutral,4,4,"[2.136206865310669, -10.074383735656738, -8.425527572631836, 1.7502247095108032, 4.9214348793029785, -4.263077735900879, -6.852710247039795]",tensor(0.9060)
surprise_21bad02af387b852fe64a020be410de9,40-49,Female,Latino_Hispanic,surprise,6,3,"[-4.195519924163818, -3.9239695072174072, -6.465730667114258, 4.834771156311035, 3.1897807121276855, -7.131951332092285, -1.1156367063522339]",tensor(0.8362)
angry_84d57890bca8fd9408779cef0c7741a1,40-49,Male,White,angry,0,5,"[-1.4445291757583618, -5.203795433044434, -7.937831878662109, -3.6965458393096924, 2.644378900527954, 6.111396789550781, -6.7011542320251465]",tensor(0.9692)
neutral_283940eda3c5f01d5f4967ec9323fcb1,20-29,Male,White,neutral,4,4,"[-7.450001239776611, -6.203184127807617, -7.671111106872559, 1.682763695716858, 6.3400044441223145, -0.8971530795097351, -4.909512519836426]",tensor(0.9899)
angry_1922d58aa5992eec184510d06555922f,30-39,Male,White,angry,0,4,"[-0.9713574051856995, -4.413817882537842, -4.7128400802612305, -4.849381446838379, 3.7327449321746826, -3.4477007389068604, -6.19521427154541]",tensor(0.9896)
neutral_a70fefe1e93bc5f210779d2f5ba68ffe,30-39,Male,White,neutral,4,4,"[-6.114689350128174, -7.198288917541504, -6.941580295562744, -1.5247100591659546, 6.762039661407471, 2.597852945327759, -5.957652568817139]",tensor(0.9844)
fear_37d661a673fc4ef4576bef21346648b1,30-39,Male,East Asian,fear,2,2,"[-3.9328246116638184, -4.756065845489502, 6.327805519104004, -4.113119602203369, -3.4482600688934326, -2.4322142601013184, 0.34002140164375305]",tensor(0.9972)
surprise_ca92dcd52a632220d10067ff666110dc,50-59,Male,White,surprise,6,6,"[-2.93886661529541, 0.809712827205658, -0.8919516801834106, -4.578906059265137, -6.084263801574707, -3.9424889087677, 4.595949649810791]",tensor(0.9731)
fear_f3d15a6ced65385f05fd84637005fa41,20-29,Male,Black,fear,2,5,"[-11.640137672424316, -14.370904922485352, 1.377277135848999, -4.869565010070801, 1.073119878768921, 3.2109272480010986, 0.4700680077075958]",tensor(0.7448)
neutral_4ee05381ef769590559d1db313a85bb1,30-39,Male,White,neutral,4,4,"[-6.041624546051025, -6.961696624755859, -7.075549125671387, 3.4577627182006836, 4.745821475982666, 0.014931056648492813, -5.086106777191162]",tensor(0.7784)
angry_4adc0ec97bd04d70b1332fb9cc751ddb,40-49,Female,White,angry,0,0,"[5.725675106048584, -1.9807347059249878, -2.2044079303741455, -8.477470397949219, -3.0251095294952393, 2.951220750808716, -3.6306309700012207]",tensor(0.9403)
sad_9f93ee921a061ac82c751e82d2859cc0,30-39,Female,White,sad,5,3,"[-0.49954700469970703, -3.095651149749756, -4.489856719970703, 0.9686479568481445, -0.1321893334388733, -0.31258150935173035, -4.407421112060547]",tensor(0.5357)
angry_c844d7ec472fe7f5b3662d2f417d134c,00-02,Male,White,angry,0,0,"[5.215425968170166, -0.5543259382247925, -7.068472862243652, -6.214410305023193, 0.6164804100990295, -0.4819149374961853, -4.738946437835693]",tensor(0.9837)
fear_6fecc023ff51384a6f52077c584e484d,40-49,Male,White,fear,2,2,"[-5.896317005157471, -1.0147374868392944, 2.1219992637634277, -0.6677160263061523, -1.821777105331421, 0.13265791535377502, -3.5482559204101562]",tensor(0.7906)
sad_21b703dfd83a9e22c544873fb9f0e556,10-19,Female,East Asian,sad,5,5,"[0.5949749946594238, -5.033246040344238, -4.840347766876221, -6.385226249694824, 0.4704832136631012, 5.094483375549316, -6.760618686676025]",tensor(0.9794)
surprise_a365ac8f68409d39175f65b644d804ee,10-19,Male,Latino_Hispanic,surprise,6,6,"[-7.887659549713135, -3.2032058238983154, -6.360573768615723, 2.4493911266326904, 0.6378816366195679, -3.1213271617889404, 2.6050338745117188]",tensor(0.4995)
neutral_bd732638ba3f2dea51bb3fc72e01bd93,20-29,Male,White,neutral,4,4,"[-6.249990463256836, -9.029823303222656, -1.6714582443237305, -3.939927816390991, 4.980265140533447, 0.4539507329463959, 0.3094177544116974]",tensor(0.9788)
neutral_2e2634225567f75683576e47a0ab07f7,40-49,Male,Black,neutral,4,4,"[-3.207148551940918, -3.9639394283294678, -9.123222351074219, 1.8376518487930298, 5.275906085968018, -0.5994821786880493, -10.718587875366211]",tensor(0.9660)
fear_0ba5b19f8f5e813a278b2d080a1dda98,50-59,Male,White,fear,2,4,"[-4.575515270233154, -4.831341743469238, -5.418059825897217, 0.9459096789360046, 3.352388381958008, -3.0202677249908447, -2.084162712097168]",tensor(0.9116)
surprise_6088514f7a1443ebaeee774e02a54885,20-29,Female,White,surprise,6,6,"[-5.88887357711792, -9.073969841003418, 0.3181166648864746, 1.8488746881484985, -1.992569088935852, -9.057489395141602, 6.458122730255127]",tensor(0.9878)
sad_ca15b756d7a80bfac293e5f485b75b72,20-29,Female,East Asian,sad,5,4,"[-4.113582134246826, -10.194672584533691, -6.888453483581543, -0.8276035189628601, 8.340524673461914, -0.5863388776779175, -5.849828243255615]",tensor(0.9998)
angry_528293b416764fa31115a97005138f9a,50-59,Male,White,angry,0,1,"[-0.5948664546012878, 1.862059473991394, -2.784954071044922, -2.393521308898926, -3.949514627456665, -3.0781164169311523, -6.05314302444458]",tensor(0.8929)
sad_9f8447f5e42b58f7a1e7fcae17c9c45e,20-29,Male,White,sad,5,4,"[-6.1143879890441895, -6.436162948608398, -3.203967571258545, -5.033515930175781, 4.888555526733398, 3.9068591594696045, -8.556461334228516]",tensor(0.7272)
fear_a146944256e673864cc88f3f02f253cd,03-09,Male,Latino_Hispanic,fear,2,6,"[-10.422196388244629, -8.895702362060547, -5.552363395690918, 3.4898369312286377, 0.8519928455352783, -2.9665229320526123, 4.801202297210693]",tensor(0.7757)
fear_052cd5bc602c0768c064ab36e11e4b41,20-29,Female,White,fear,2,2,"[-4.79799747467041, -4.567143440246582, 2.717616558074951, -1.1938061714172363, -4.823451519012451, 1.747632622718811, -2.319070816040039]",tensor(0.7106)
disgust_120f3c7fe05e870eeabe651ba7ff18ed,03-09,Male,Latino_Hispanic,disgust,1,1,"[0.22425515949726105, 1.1260048151016235, -1.142662525177002, -9.061594009399414, -0.8011786937713623, 0.9137997627258301, -4.093308448791504]",tensor(0.4050)
sad_8cc0d3b0415ae460b8594ee9d58fe388,20-29,Male,White,sad,5,5,"[0.14006151258945465, -2.899686574935913, 3.181379556655884, -4.640170574188232, -4.1186842918396, 5.504114627838135, -6.7562336921691895]",tensor(0.9066)
neutral_12c21c169b91e02287eb9a9bc5d2a4aa,00-02,Female,East Asian,neutral,4,5,"[-6.832566261291504, -5.681952476501465, 1.118149757385254, -4.180352210998535, 0.15199077129364014, 2.2585031986236572, -0.5082716345787048]",tensor(0.6639)
neutral_c2caf6d1a33eb2c16c3744c447fcf9bb,20-29,Female,White,neutral,4,4,"[-0.0874437540769577, -6.166140556335449, -4.63897180557251, -3.0607573986053467, 4.158925533294678, -2.2548563480377197, -3.892719268798828]",tensor(0.9831)
sad_0afa687d5f9cd351fc7237fd429e051a,40-49,Male,Latino_Hispanic,sad,5,6,"[-8.02480697631836, -7.536901473999023, -3.549607992172241, -2.6886565685272217, 2.617215633392334, 1.5424138307571411, 2.6258788108825684]",tensor(0.4279)
angry_4990cab0027df055ba4428822ee97e69,20-29,Female,White,angry,0,0,"[3.3602848052978516, -5.933199882507324, -5.598047256469727, -6.902399063110352, 0.7179341912269592, -4.153177261352539, 1.1843332052230835]",tensor(0.8435)
surprise_b196b99997ac5fbc43119d3beda3fc45,20-29,Female,Indian,surprise,6,5,"[-6.440221309661865, -6.181715488433838, -5.061323165893555, -3.052743911743164, 2.9308645725250244, 4.296152591705322, -4.141852855682373]",tensor(0.7960)
angry_5cbace41405fd86b688aca64dd343f35,40-49,Female,White,angry,0,0,"[4.416102886199951, -4.281369209289551, 1.2291476726531982, -1.574714183807373, -4.097347259521484, -5.9975996017456055, 0.9450505971908569]",tensor(0.9300)
neutral_8d1a1d5f1af5203f7895e796e00ab8f0,03-09,Male,Latino_Hispanic,neutral,4,3,"[-7.666864395141602, -6.770584583282471, -3.7416317462921143, 3.118845224380493, 1.6506906747817993, -2.069056272506714, -1.319588541984558]",tensor(0.8007)
happy_d5b04d140984cbca009f2ed28eb0c783,03-09,Male,White,happy,3,3,"[-7.373107433319092, -5.152312278747559, -3.6214916706085205, 7.449429512023926, -2.8731658458709717, -8.076881408691406, 0.7425491809844971]",tensor(0.9987)
