id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,1,"[4.7905802726745605, 7.660285949707031, -3.774186134338379, -6.715083599090576, -8.88101577758789, 0.24254515767097473, -3.754373073577881]",tensor(0.9458)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,5,"[1.598933219909668, -5.859449863433838, -5.83540678024292, -6.845635890960693, 2.0315487384796143, 4.738908290863037, -3.2263059616088867]",tensor(0.9006)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,5,"[-3.2123658657073975, -4.914636135101318, -7.116984844207764, -5.084754943847656, 1.7705539464950562, 4.139963626861572, -1.923080325126648]",tensor(0.9118)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[1.9547663927078247, -3.6275599002838135, -8.27523136138916, -0.2116539627313614, -1.2928738594055176, 4.444494724273682, -7.382842063903809]",tensor(0.9124)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-6.163257598876953, -3.318204641342163, -4.217925548553467, -0.0870787650346756, 3.240314483642578, -0.7276191711425781, -1.4011762142181396]",tensor(0.9376)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-1.8566778898239136, -3.9453296661376953, -1.6523915529251099, -4.86025333404541, -1.585791826248169, 6.651195526123047, -6.338469505310059]",tensor(0.9992)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-6.154660701751709, -7.471970081329346, -8.48922061920166, -3.6570863723754883, 6.97654390335083, 3.246598482131958, -2.692208766937256]",tensor(0.9765)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,2,"[-3.449336051940918, -7.279380798339844, 6.017664909362793, -5.420285224914551, -1.0365862846374512, -5.544913291931152, 5.919827461242676]",tensor(0.5242)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[1.0627447366714478, 7.262073516845703, -5.056699752807617, -2.9315919876098633, -2.4561095237731934, -1.6455045938491821, -6.078604698181152]",tensor(0.9977)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[5.661029815673828, -0.6541237831115723, -2.460952043533325, -0.313789427280426, -5.265890121459961, -3.2707560062408447, -1.3190867900848389]",tensor(0.9943)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-3.4312925338745117, -8.660309791564941, -5.281117916107178, 3.2648184299468994, 5.675117492675781, -2.630934715270996, -5.671959400177002]",tensor(0.9173)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,4,"[-2.258309841156006, -6.5987348556518555, -4.5496649742126465, -1.9961330890655518, 3.6659722328186035, 3.3601760864257812, -5.015683174133301]",tensor(0.5737)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[6.065804481506348, -6.576019287109375, 2.3379037380218506, 2.1427457332611084, -7.932863712310791, -5.0331621170043945, -1.3083524703979492]",tensor(0.9574)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-4.0529046058654785, -4.218419075012207, -1.592889428138733, 3.206591844558716, -2.103844404220581, -1.3807200193405151, -0.5026339888572693]",tensor(0.9532)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-4.695786952972412, -7.119269847869873, -4.990595817565918, -2.924825668334961, 4.8020429611206055, -0.9056987166404724, -4.329897880554199]",tensor(0.9960)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,5,"[2.1268808841705322, -2.6170408725738525, -3.2088184356689453, -6.682581424713135, 2.1053624153137207, 2.537869930267334, -4.099184036254883]",tensor(0.4306)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-6.091466903686523, -0.5725831389427185, -1.0905615091323853, -0.5217202305793762, 1.5187242031097412, -5.29489278793335, -0.46495628356933594]",tensor(0.6820)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-3.8432648181915283, -2.0033462047576904, -0.2594320476055145, -1.965964674949646, -7.451830863952637, 10.865623474121094, -8.219420433044434]",tensor(1.0000)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,3,"[-6.228699684143066, -7.05353307723999, -7.4362335205078125, 3.96524977684021, 1.059387445449829, 3.381124258041382, -4.93818998336792]",tensor(0.6202)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,2,"[-0.9169673323631287, -7.42286491394043, 7.775943756103516, -9.327208518981934, -3.852877616882324, 3.3313539028167725, -5.133396625518799]",tensor(0.9882)
fear_39557e046a2d525841885d5ec2371af7,40-49,Male,White,fear,2,4,"[-3.817444086074829, -8.955538749694824, -5.913547515869141, -15.455084800720215, 7.152145862579346, 2.6568756103515625, 0.8240288496017456]",tensor(0.9872)
happy_02a9db2ba06584040b93452eb83223a8,70+,Female,White,happy,3,3,"[-6.296724796295166, -2.7314627170562744, -3.521541118621826, 6.847811222076416, -2.1675963401794434, -4.769695281982422, -0.35694175958633423]",tensor(0.9990)
angry_12d16864047ae490e5a6856daa9cba20,20-29,Male,White,angry,0,3,"[-5.711487293243408, -9.128145217895508, -8.496147155761719, 6.580768585205078, 5.503050327301025, -2.429593563079834, -6.590014457702637]",tensor(0.7460)
sad_dd3d9f690b55b0595e69952b82f47237,20-29,Female,White,sad,5,5,"[-2.6870100498199463, -3.898366689682007, -3.572082281112671, -0.018915945664048195, -3.944154977798462, 7.060552597045898, -4.98237419128418]",tensor(0.9990)
sad_d8828cde6855e18c8a87bed6af0d1510,20-29,Female,White,sad,5,5,"[-0.9871861934661865, -1.3590667247772217, -2.2626235485076904, 1.0378062725067139, -5.379340648651123, 3.1274096965789795, -5.085534572601318]",tensor(0.8648)
sad_abcecb40c3d45bc9ed36256231b81a92,20-29,Male,White,sad,5,4,"[-4.3923468589782715, -5.053555965423584, -3.053668975830078, -1.037143588066101, 3.4808530807495117, -2.4081554412841797, -0.7750852704048157]",tensor(0.9710)
angry_565cf5ca201f3b3202bd8bf46e10d011,20-29,Male,White,angry,0,4,"[-1.2442748546600342, -7.905173301696777, -6.020939350128174, -0.7013243436813354, 5.517106533050537, 1.2893507480621338, -9.3286771774292]",tensor(0.9826)
neutral_43d0852bcf5dc649d42bbc5a84cb08b3,20-29,Female,White,neutral,4,4,"[1.3592984676361084, -7.371606349945068, -5.191563606262207, -3.928377866744995, 4.584726333618164, -2.1704771518707275, -2.2432656288146973]",tensor(0.9595)
happy_696cd15844d851ff470324433d58a4b0,20-29,Male,White,happy,3,3,"[-4.871855735778809, -4.268052577972412, -4.2897748947143555, 5.597165584564209, -0.5133963227272034, -5.271394729614258, 0.03554169088602066]",tensor(0.9938)
disgust_c29db77f146467675b9a547a32f78fe2,30-39,Male,Middle Eastern,disgust,1,2,"[2.162492036819458, -3.7751572132110596, 2.9614357948303223, -5.235214710235596, -2.2703335285186768, -6.790699481964111, -0.45261186361312866]",tensor(0.6713)
neutral_0476ad07c5310846beeff6457b2bf43a,30-39,Male,White,neutral,4,4,"[-8.085759162902832, -7.868722438812256, -12.931447982788086, 7.152111530303955, 9.410109519958496, -5.249786376953125, -12.549614906311035]",tensor(0.9053)
neutral_3d9f9c418a11c8a91b213f5496d97533,00-02,Female,East Asian,neutral,4,6,"[-8.843670845031738, -6.917917251586914, 1.3820888996124268, -4.5562286376953125, 2.80151629447937, -1.8553959131240845, 3.6811230182647705]",tensor(0.6581)
sad_652893c8033269a4b24b6b364cdabb83,03-09,Female,White,sad,5,5,"[-3.5819690227508545, -2.976626396179199, 0.6314491629600525, -5.1463775634765625, -4.637694835662842, 9.904644966125488, -5.097445964813232]",tensor(0.9999)
angry_9b1fd1d4116b851364760884d7054205,20-29,Male,White,angry,0,2,"[2.6063246726989746, -1.4103343486785889, 3.0908801555633545, -1.8785609006881714, -5.6035308837890625, -2.240035057067871, -1.3402433395385742]",tensor(0.6057)
neutral_d15d502b9f88281164f98e049d82925d,40-49,Male,White,neutral,4,4,"[-4.029557704925537, -5.583743572235107, -1.8114080429077148, -3.667057752609253, 2.8498804569244385, 1.1411442756652832, 0.859808623790741]",tensor(0.7519)
fear_520946fe2484192e409466f3000b1336,40-49,Male,Latino_Hispanic,fear,2,2,"[-2.508578300476074, -3.9385948181152344, 5.154431343078613, -6.858459949493408, 0.08116628229618073, -2.395242214202881, -0.30607056617736816]",tensor(0.9885)
happy_41e82c1791f48cca03c7421aeb8dcf40,10-19,Female,Black,happy,3,3,"[-4.418670654296875, -3.763679265975952, -3.8562214374542236, 6.262155055999756, -0.6471484899520874, -4.331085681915283, -2.5111660957336426]",tensor(0.9987)
sad_c3f84c5cd353aa656e452524fe2573d8,60-69,Female,Latino_Hispanic,sad,5,5,"[-0.06047765910625458, 0.43289777636528015, -10.074601173400879, -3.4052257537841797, 1.9338274002075195, 2.3246943950653076, -5.858711242675781]",tensor(0.5201)
sad_99ce705dcad1eae1529aab03c6b59358,40-49,Male,White,sad,5,5,"[-6.591248512268066, -3.0502195358276367, 0.4671958088874817, -5.510830879211426, 1.1605533361434937, 4.1909565925598145, -0.1537497341632843]",tensor(0.9206)
neutral_61d116bcb660d2fcbf5584ae4e7ccd9d,10-19,Female,White,neutral,4,4,"[-1.9708189964294434, -10.21682071685791, -12.063912391662598, -1.254204273223877, 6.767070293426514, 0.3272019624710083, -5.728384971618652]",tensor(0.9979)
surprise_21bad02af387b852fe64a020be410de9,40-49,Female,Latino_Hispanic,surprise,6,3,"[-3.576751947402954, -2.3144567012786865, -3.0345757007598877, 3.0217740535736084, 1.228731632232666, -4.487441062927246, -2.538607120513916]",tensor(0.8479)
angry_84d57890bca8fd9408779cef0c7741a1,40-49,Male,White,angry,0,4,"[-3.417717456817627, -5.829397201538086, -4.3781046867370605, -4.643844127655029, 4.548459529876709, 3.715439796447754, -9.17747974395752]",tensor(0.6967)
neutral_283940eda3c5f01d5f4967ec9323fcb1,20-29,Male,White,neutral,4,4,"[-5.71438455581665, -4.982030868530273, -7.431447982788086, -0.6361506581306458, 8.00847053527832, -0.07137995213270187, -9.477669715881348]",tensor(0.9995)
angry_1922d58aa5992eec184510d06555922f,30-39,Male,White,angry,0,4,"[-5.574399948120117, -6.556844711303711, -3.9548449516296387, -0.673283576965332, 5.351176738739014, -2.634962797164917, -4.093210697174072]",tensor(0.9971)
neutral_a70fefe1e93bc5f210779d2f5ba68ffe,30-39,Male,White,neutral,4,4,"[1.195680856704712, -5.995211124420166, -5.101186752319336, -4.374356269836426, 5.482895374298096, 1.5245845317840576, -8.517352104187012]",tensor(0.9681)
fear_37d661a673fc4ef4576bef21346648b1,30-39,Male,East Asian,fear,2,6,"[-1.6781301498413086, -8.20571517944336, 1.083247423171997, -2.576887845993042, 0.04171229898929596, -7.105428218841553, 5.1839423179626465]",tensor(0.9767)
surprise_ca92dcd52a632220d10067ff666110dc,50-59,Male,White,surprise,6,5,"[-4.647171974182129, 0.8085120916366577, -1.692086100578308, -5.080198764801025, -3.314997911453247, 2.5778322219848633, 2.5749566555023193]",tensor(0.4576)
fear_f3d15a6ced65385f05fd84637005fa41,20-29,Male,Black,fear,2,2,"[-10.947257995605469, -7.916138172149658, 7.663218975067139, -8.675604820251465, -0.36428624391555786, -1.0131394863128662, 5.473382949829102]",tensor(0.8989)
neutral_4ee05381ef769590559d1db313a85bb1,30-39,Male,White,neutral,4,4,"[-2.985294818878174, -9.228985786437988, -7.943549156188965, 0.4081105887889862, 6.314673900604248, 0.8946674466133118, -6.991089344024658]",tensor(0.9928)
angry_4adc0ec97bd04d70b1332fb9cc751ddb,40-49,Female,White,angry,0,4,"[3.9049603939056396, -0.1017666906118393, -10.5313081741333, -5.671062469482422, 4.298578262329102, -1.550074815750122, -11.108553886413574]",tensor(0.5918)
sad_9f93ee921a061ac82c751e82d2859cc0,30-39,Female,White,sad,5,5,"[-1.6584804058074951, -3.2183032035827637, -8.234402656555176, 0.8482471108436584, 1.4571284055709839, 3.27655029296875, -8.650351524353027]",tensor(0.7943)
angry_c844d7ec472fe7f5b3662d2f417d134c,00-02,Male,White,angry,0,0,"[7.231437683105469, -2.7298407554626465, -6.730607032775879, -6.675549507141113, 1.1162928342819214, -0.17386187613010406, -4.063811779022217]",tensor(0.9971)
