id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,1,"[4.357756614685059, 4.6512908935546875, -2.995307207107544, -7.901625633239746, -4.063969135284424, -2.2056121826171875, -2.503603458404541]",tensor(0.5720)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[3.280442953109741, -7.838407039642334, -6.683548450469971, -5.740899562835693, 3.5768327713012695, 2.170210838317871, -5.248800277709961]",tensor(0.5028)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-3.984560966491699, -7.955318927764893, -9.44607162475586, -1.4632678031921387, 5.439002990722656, 1.3773776292800903, -4.615735054016113]",tensor(0.9820)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-5.640927314758301, -11.779902458190918, -12.856413841247559, 3.9975357055664062, 0.3575718402862549, 5.984411716461182, -5.6605377197265625]",tensor(0.8766)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-3.390296697616577, -0.052039146423339844, -6.321506023406982, -4.0114426612854, 2.8513917922973633, -4.692193031311035, 0.9570781588554382]",tensor(0.8272)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[0.7026328444480896, -3.165761709213257, -6.207398891448975, -4.191979885101318, 0.9691881537437439, 1.1589876413345337, -6.31784725189209]",tensor(0.4032)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[1.4677903652191162, -5.07564115524292, -8.709259033203125, -10.01996898651123, 6.964115142822266, 4.188632488250732, -6.63015604019165]",tensor(0.9377)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,2,"[-1.9955315589904785, -2.4591050148010254, 4.420995235443115, -9.418021202087402, -1.9908336400985718, -4.284282207489014, 2.6754326820373535]",tensor(0.8482)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[4.806201934814453, 6.2760701179504395, -7.406368732452393, -4.872710704803467, -0.7070565223693848, -2.4567503929138184, -8.109214782714844]",tensor(0.8123)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[10.244881629943848, 3.6900227069854736, -6.018496036529541, -1.5850322246551514, -6.158486366271973, -10.454636573791504, -2.8836710453033447]",tensor(0.9986)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-0.652734100818634, -7.4757208824157715, -3.7984533309936523, -1.5380163192749023, 3.9532971382141113, 0.3563322126865387, -5.579422473907471]",tensor(0.9597)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,4,"[-1.5845999717712402, -3.713881492614746, -5.918900012969971, 0.8106864094734192, 1.4867721796035767, -0.9579107761383057, -4.82925271987915]",tensor(0.6062)
