id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,1,"[0.3049699664115906, 8.981042861938477, -0.6389484405517578, -5.895628452301025, -7.8171305656433105, -1.123328685760498, -4.092960834503174]",tensor(0.9997)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[-2.6858837604522705, -7.699285507202148, -8.949365615844727, -1.0841294527053833, 5.772619247436523, 2.18381929397583, -5.9785943031311035]",tensor(0.9719)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-0.265658974647522, -6.760875701904297, -10.219389915466309, -3.107740879058838, 5.993338584899902, 1.2293429374694824, -6.279427528381348]",tensor(0.9895)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[0.602337658405304, -6.428836822509766, -8.773134231567383, -7.1733717918396, 3.275066614151001, 6.847314357757568, -8.902902603149414]",tensor(0.9708)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-2.9965012073516846, -0.8895941376686096, -3.2320358753204346, -5.860581874847412, 1.8496001958847046, -1.0591126680374146, 0.5929508209228516]",tensor(0.7051)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-0.6873244643211365, -4.7677788734436035, -3.3027002811431885, -5.584592342376709, -1.3754029273986816, 4.723260879516602, -4.940009117126465]",tensor(0.9928)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[2.039411783218384, -5.060640335083008, -7.343892574310303, -10.06904125213623, 5.9115729331970215, 4.619393348693848, -4.740978717803955]",tensor(0.7719)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,2,"[-2.989236831665039, -8.867904663085938, 6.430941581726074, -2.652223825454712, -3.126068592071533, -7.972023010253906, 5.115358829498291]",tensor(0.7883)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,0,"[3.9108235836029053, 2.927668333053589, -4.933537483215332, -2.195504665374756, -1.9216092824935913, -0.8605866432189941, -7.555798053741455]",tensor(0.7205)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[8.263919830322266, 2.179633378982544, -4.019970893859863, -3.5263400077819824, -5.3430352210998535, -7.5634989738464355, -3.097649335861206]",tensor(0.9977)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-3.1741325855255127, -9.721882820129395, -7.182343006134033, 3.6495933532714844, 6.233274459838867, -1.7050065994262695, -6.5118889808654785]",tensor(0.9294)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,5,"[-0.2900797128677368, -4.044251918792725, -4.593592166900635, -0.8502038717269897, 1.9021618366241455, 2.359779119491577, -6.4334282875061035]",tensor(0.5726)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[6.929559707641602, -7.081252574920654, 1.9999737739562988, 1.4742218255996704, -8.836593627929688, -5.593203544616699, -2.159996747970581]",tensor(0.9885)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-5.838508605957031, -8.349502563476562, -5.172336101531982, 4.329586505889893, 0.27431949973106384, -0.761958658695221, -3.0613811016082764]",tensor(0.9764)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-2.6814212799072266, -5.359610080718994, -9.466181755065918, -0.8355749845504761, 4.285275459289551, -2.3415491580963135, -1.986450433731079]",tensor(0.9899)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,5,"[1.8183516263961792, -3.170677423477173, -3.6379897594451904, -7.038715839385986, 1.972957968711853, 3.334233522415161, -3.0920863151550293]",tensor(0.6757)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-3.763430595397949, -3.1691482067108154, -4.928756237030029, -1.3574070930480957, 5.367583274841309, -7.24790620803833, -3.176586627960205]",tensor(0.9983)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-4.288702011108398, -4.544854640960693, -1.464022159576416, -1.0785984992980957, -5.145877361297607, 10.328438758850098, -7.6585917472839355]",tensor(1.0000)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,5,"[-2.2607202529907227, -6.909351825714111, -5.985116958618164, 0.6332339644432068, 1.207297682762146, 3.5718722343444824, -6.998009204864502]",tensor(0.8696)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,5,"[-4.811408042907715, -6.082673072814941, 4.648737907409668, -9.459131240844727, -3.6844725608825684, 4.857047080993652, -2.5741963386535645]",tensor(0.5516)
fear_39557e046a2d525841885d5ec2371af7,40-49,Male,White,fear,2,4,"[0.7675406336784363, -10.348387718200684, -4.870412349700928, -13.556281089782715, 8.205078125, -1.912434458732605, -3.6893789768218994]",tensor(0.9994)
happy_02a9db2ba06584040b93452eb83223a8,70+,Female,White,happy,3,3,"[-5.261689186096191, -4.615894794464111, -1.5458552837371826, 6.201854228973389, -5.8565545082092285, -1.7335319519042969, -0.6181839108467102]",tensor(0.9981)
angry_12d16864047ae490e5a6856daa9cba20,20-29,Male,White,angry,0,3,"[-8.250544548034668, -7.173683166503906, -7.991926670074463, 8.189697265625, 2.356422185897827, -4.6788649559021, -3.931147575378418]",tensor(0.9971)
sad_dd3d9f690b55b0595e69952b82f47237,20-29,Female,White,sad,5,5,"[-5.257219314575195, -6.374198913574219, -0.9109340310096741, -1.061161994934082, -5.265954494476318, 8.587686538696289, -4.585501194000244]",tensor(0.9999)
sad_d8828cde6855e18c8a87bed6af0d1510,20-29,Female,White,sad,5,5,"[-1.0130294561386108, -1.4564987421035767, -1.3494634628295898, -0.9621996283531189, -4.205256462097168, 3.827826499938965, -5.636593341827393]",tensor(0.9734)
sad_abcecb40c3d45bc9ed36256231b81a92,20-29,Male,White,sad,5,4,"[-4.609537124633789, -4.1428046226501465, -1.9189785718917847, -2.2069549560546875, 2.327742099761963, -2.028360605239868, -1.4075766801834106]",tensor(0.9396)
angry_565cf5ca201f3b3202bd8bf46e10d011,20-29,Male,White,angry,0,4,"[1.8027414083480835, -3.204714775085449, -4.899229049682617, -4.640083312988281, 4.3906354904174805, -3.372507333755493, -4.034321308135986]",tensor(0.9289)
neutral_43d0852bcf5dc649d42bbc5a84cb08b3,20-29,Female,White,neutral,4,4,"[-1.3169564008712769, -7.211630344390869, -4.391569137573242, -3.2072222232818604, 4.332620620727539, -1.9772279262542725, 1.167670488357544]",tensor(0.9540)
happy_696cd15844d851ff470324433d58a4b0,20-29,Male,White,happy,3,3,"[-6.72230863571167, -5.929872989654541, -7.547113418579102, 8.164654731750488, 1.9474316835403442, -4.883603096008301, -2.7144663333892822]",tensor(0.9980)
disgust_c29db77f146467675b9a547a32f78fe2,30-39,Male,Middle Eastern,disgust,1,2,"[-0.10393910109996796, 0.7148329615592957, 1.7984660863876343, -8.738802909851074, -2.2243521213531494, -3.399296283721924, -3.9023444652557373]",tensor(0.6603)
neutral_0476ad07c5310846beeff6457b2bf43a,30-39,Male,White,neutral,4,4,"[-3.2625033855438232, -12.132950782775879, -12.102657318115234, 1.836290955543518, 7.752964019775391, -2.843533992767334, -5.969595909118652]",tensor(0.9973)
neutral_3d9f9c418a11c8a91b213f5496d97533,00-02,Female,East Asian,neutral,4,6,"[-9.72205924987793, -10.581225395202637, -3.613884210586548, -2.9514570236206055, 2.5298171043395996, -2.9454185962677, 7.751562118530273]",tensor(0.9946)
sad_652893c8033269a4b24b6b364cdabb83,03-09,Female,White,sad,5,5,"[-3.8311104774475098, -2.5062661170959473, 0.015582695603370667, -3.181321859359741, -3.609260320663452, 7.575356483459473, -8.793012619018555]",tensor(0.9994)
angry_9b1fd1d4116b851364760884d7054205,20-29,Male,White,angry,0,0,"[6.693144798278809, 0.03844501078128815, -0.2485683560371399, -2.9661145210266113, -5.493980407714844, -4.411728382110596, -3.4717214107513428]",tensor(0.9976)
neutral_d15d502b9f88281164f98e049d82925d,40-49,Male,White,neutral,4,4,"[-2.3395936489105225, -5.051594257354736, -6.934256076812744, -1.23660147190094, 4.829407215118408, 0.39507365226745605, -3.363701105117798]",tensor(0.9849)
fear_520946fe2484192e409466f3000b1336,40-49,Male,Latino_Hispanic,fear,2,4,"[-0.3452015519142151, -4.208448886871338, 0.8044146299362183, -6.563633441925049, 1.5480802059173584, -2.7110719680786133, 1.0997613668441772]",tensor(0.4382)
happy_41e82c1791f48cca03c7421aeb8dcf40,10-19,Female,Black,happy,3,3,"[-5.195703029632568, -3.6821789741516113, -2.9222323894500732, 7.901836395263672, -3.1378087997436523, -5.006857872009277, -1.719955325126648]",tensor(0.9999)
sad_c3f84c5cd353aa656e452524fe2573d8,60-69,Female,Latino_Hispanic,sad,5,5,"[-3.940959930419922, -8.439169883728027, -6.628012657165527, -4.07716703414917, 1.0275136232376099, 6.169890403747559, -3.215855598449707]",tensor(0.9940)
sad_99ce705dcad1eae1529aab03c6b59358,40-49,Male,White,sad,5,6,"[-5.489299774169922, -8.781981468200684, 0.22066035866737366, -4.276736259460449, 0.8500770926475525, 0.8919375538825989, 3.1760082244873047]",tensor(0.7985)
neutral_61d116bcb660d2fcbf5584ae4e7ccd9d,10-19,Female,White,neutral,4,5,"[-3.204457998275757, -9.673154830932617, -7.055839538574219, -3.5555005073547363, 3.9785165786743164, 4.307929992675781, -5.18809175491333]",tensor(0.5813)
surprise_21bad02af387b852fe64a020be410de9,40-49,Female,Latino_Hispanic,surprise,6,4,"[-2.4346585273742676, -2.525705337524414, -4.924167156219482, 2.3449907302856445, 3.30212664604187, -4.055717468261719, -3.603729486465454]",tensor(0.7184)
angry_84d57890bca8fd9408779cef0c7741a1,40-49,Male,White,angry,0,0,"[3.1391899585723877, -5.142425060272217, -4.721167087554932, -7.2701735496521, 2.062959909439087, 2.3656041622161865, -6.9645771980285645]",tensor(0.5546)
neutral_283940eda3c5f01d5f4967ec9323fcb1,20-29,Male,White,neutral,4,4,"[-2.409599542617798, -2.334376096725464, -5.503900051116943, -1.012589931488037, 4.149226188659668, -0.33801013231277466, -5.350298881530762]",tensor(0.9803)
angry_1922d58aa5992eec184510d06555922f,30-39,Male,White,angry,0,4,"[-4.686084270477295, -12.210357666015625, -12.58292007446289, 1.6617811918258667, 6.110323905944824, 1.7013808488845825, -5.880761623382568]",tensor(0.9767)
neutral_a70fefe1e93bc5f210779d2f5ba68ffe,30-39,Male,White,neutral,4,4,"[-1.8895944356918335, -5.225913047790527, -4.792605876922607, -1.0166805982589722, 4.754981994628906, 0.682465136051178, -4.939222812652588]",tensor(0.9788)
fear_37d661a673fc4ef4576bef21346648b1,30-39,Male,East Asian,fear,2,2,"[0.2700725793838501, -3.9119021892547607, 3.894282102584839, -4.689686298370361, -3.553779125213623, -4.4209089279174805, 0.8790851831436157]",tensor(0.9284)
