id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[5.384608745574951, 4.809126377105713, -3.295168876647949, -9.97284984588623, -7.352834701538086, -0.8259578347206116, -3.0058109760284424]",tensor(0.6390)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,5,"[2.3372433185577393, -2.693887710571289, -6.559431076049805, -6.499724388122559, 2.881856918334961, 3.643378257751465, -5.922440528869629]",tensor(0.5748)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[0.8390225768089294, -5.424581527709961, -7.175613880157471, -2.316283702850342, 3.4118504524230957, 2.371938705444336, -7.527126789093018]",tensor(0.6977)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-6.6740264892578125, -7.193155765533447, -8.933497428894043, -1.022091269493103, 2.574545383453369, 7.873242378234863, -6.009533405303955]",tensor(0.9949)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,6,"[-4.367464542388916, 0.4115034341812134, -1.2564122676849365, -6.4570231437683105, -1.2613627910614014, -0.4121786057949066, 0.9400380253791809]",tensor(0.4818)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[1.6190240383148193, -4.505957126617432, -3.5969223976135254, -4.201904296875, 1.1436735391616821, 3.178292751312256, -7.3240485191345215]",tensor(0.7445)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-3.6989352703094482, -8.24157428741455, -7.899133205413818, -9.663261413574219, 8.842677116394043, 2.0471880435943604, -2.475234031677246]",tensor(0.9989)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,6,"[-3.1652214527130127, -7.402838706970215, 2.4607887268066406, -11.855818748474121, -2.6302061080932617, -5.647683143615723, 9.284480094909668]",tensor(0.9989)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[1.789961338043213, 7.089630603790283, -1.9402821063995361, -5.623592853546143, -3.316124439239502, -1.1606422662734985, -3.4047911167144775]",tensor(0.9946)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[7.80793571472168, 0.4036206305027008, -3.821606159210205, -2.3981993198394775, -5.191195964813232, -5.210964679718018, -2.117428779602051]",tensor(0.9993)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-3.3772363662719727, -8.43411922454834, -4.622176170349121, 0.3426036834716797, 4.731943607330322, -1.850294589996338, -3.9549624919891357]",tensor(0.9859)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,5,"[-3.7548301219940186, -7.086592197418213, -4.188542366027832, -3.605349063873291, 3.118802547454834, 3.9698872566223145, -3.6292786598205566]",tensor(0.6999)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[6.95387077331543, -3.939678430557251, -0.9211413860321045, 1.9949452877044678, -6.140549182891846, -5.7305498123168945, -2.446730375289917]",tensor(0.9925)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-1.108473300933838, -8.99634838104248, -4.566296100616455, 0.8553154468536377, -0.17089074850082397, -2.0219478607177734, -2.740105152130127]",tensor(0.6302)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-3.192190170288086, -7.333065509796143, -4.33195161819458, -4.474855422973633, 5.101356506347656, 1.5307998657226562, -2.114779472351074]",tensor(0.9716)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,5,"[1.0373855829238892, -3.5427043437957764, -2.113415002822876, -5.075705051422119, 2.1198577880859375, 2.456378221511841, -4.131150245666504]",tensor(0.5074)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-0.9561488032341003, -3.740041971206665, -2.736839771270752, -0.5778330564498901, 1.3252711296081543, -4.684455871582031, -4.34671688079834]",tensor(0.7808)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-3.024496555328369, -8.146467208862305, -0.6229996085166931, -4.783839702606201, -7.573209285736084, 13.66481876373291, -6.696596622467041]",tensor(1.0000)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,5,"[-2.410252332687378, -5.578197956085205, -5.972620964050293, -1.4421665668487549, 1.6681329011917114, 3.8831472396850586, -5.873073577880859]",tensor(0.8960)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,2,"[-1.2950091361999512, -2.3877718448638916, 5.7774128913879395, -7.855870246887207, -2.5530240535736084, 1.6735155582427979, -2.650836706161499]",tensor(0.9822)
fear_39557e046a2d525841885d5ec2371af7,40-49,Male,White,fear,2,4,"[-2.0194640159606934, -4.910410404205322, -0.08202432096004486, -13.564209938049316, 3.5955259799957275, -0.7631701231002808, 1.1095117330551147]",tensor(0.8888)
happy_02a9db2ba06584040b93452eb83223a8,70+,Female,White,happy,3,3,"[-4.43983793258667, -5.4492411613464355, -1.1593350172042847, 2.7430081367492676, -4.336005687713623, -3.4985415935516357, 0.17492395639419556]",tensor(0.9085)
angry_12d16864047ae490e5a6856daa9cba20,20-29,Male,White,angry,0,3,"[-3.3050994873046875, -5.93641471862793, -7.66220235824585, 4.227767467498779, 3.5714099407196045, -2.6123390197753906, -3.747882843017578]",tensor(0.6576)
sad_dd3d9f690b55b0595e69952b82f47237,20-29,Female,White,sad,5,5,"[-4.456344127655029, -1.7031383514404297, -3.1485085487365723, 1.7359753847122192, -2.0157322883605957, 2.18882155418396, -3.4801619052886963]",tensor(0.5950)
sad_d8828cde6855e18c8a87bed6af0d1510,20-29,Female,White,sad,5,5,"[-1.6816240549087524, -2.5253207683563232, -0.9276320934295654, 0.4323928952217102, -5.783468723297119, 1.4452857971191406, -5.095697402954102]",tensor(0.6574)
sad_abcecb40c3d45bc9ed36256231b81a92,20-29,Male,White,sad,5,4,"[-2.256925582885742, -4.433555603027344, -4.103168487548828, -1.1730337142944336, 2.3540894985198975, 0.5881530046463013, -1.4988629817962646]",tensor(0.8102)
angry_565cf5ca201f3b3202bd8bf46e10d011,20-29,Male,White,angry,0,4,"[2.554610252380371, -3.9869470596313477, -9.41257095336914, -3.4683914184570312, 4.039146423339844, -0.678837776184082, -4.991357326507568]",tensor(0.8087)
neutral_43d0852bcf5dc649d42bbc5a84cb08b3,20-29,Female,White,neutral,4,4,"[-0.372245192527771, -7.0189008712768555, -3.668806791305542, -3.8059661388397217, 5.172640800476074, -0.21660825610160828, -4.723185062408447]",tensor(0.9913)
