id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[8.145142555236816, 5.079740047454834, -1.2841532230377197, -7.467348575592041, -5.340973377227783, -0.9361217021942139, -4.978634834289551]",tensor(0.9553)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[-1.756468415260315, -5.57263708114624, -3.9647767543792725, -3.534789562225342, 7.501687049865723, 4.455285549163818, -4.246613502502441]",tensor(0.9545)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,5,"[-2.7293689250946045, -3.5405068397521973, -2.849931478500366, -5.101871967315674, 2.8650059700012207, 6.719794750213623, -3.10201096534729]",tensor(0.9790)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-3.1026909351348877, -2.823838710784912, -2.609851598739624, -3.245346784591675, -0.9380072951316833, 10.751025199890137, -6.073057174682617]",tensor(1.0000)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,3,"[-2.0171566009521484, -2.6140823364257812, -1.0248075723648071, 2.006213903427124, 1.759230613708496, -2.0659985542297363, -1.9377164840698242]",tensor(0.5281)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-1.532058835029602, -1.636934518814087, -3.444666862487793, -0.28586113452911377, 1.4437332153320312, 2.4428722858428955, -3.102907657623291]",tensor(0.6776)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-3.262064218521118, -4.037203788757324, -4.175421237945557, -2.5010106563568115, 6.519577503204346, 3.0252692699432373, -0.4329676628112793]",tensor(0.9694)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,2,"[-3.838674783706665, -5.294004440307617, 11.127950668334961, -4.463932514190674, -5.4796223640441895, -3.280961275100708, 2.71964430809021]",tensor(0.9998)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,5,"[1.699471116065979, -0.008018607273697853, -3.263699531555176, -2.1214749813079834, 1.4989595413208008, 2.2072255611419678, -6.275486946105957]",tensor(0.4502)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[1.6621531248092651, -1.8809552192687988, -1.0549482107162476, 0.44015926122665405, -1.6805118322372437, -4.470520496368408, 1.5325957536697388]",tensor(0.4337)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-4.017346382141113, -5.365007400512695, -4.980007648468018, 2.431210994720459, 7.243052959442139, 0.7233949899673462, -4.391129493713379]",tensor(0.9905)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,4,"[-1.8699288368225098, -3.644284248352051, -4.384540557861328, 0.08532834053039551, 5.066587448120117, 3.073573350906372, -4.3426008224487305]",tensor(0.8738)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,2,"[2.210085153579712, -1.4034010171890259, 2.268794536590576, -3.0440659523010254, -4.769315242767334, -3.685323715209961, 0.4507402777671814]",tensor(0.4675)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-1.3229081630706787, -2.579848289489746, -2.9788687229156494, 3.7016103267669678, 0.675471842288971, -0.0034280135296285152, -2.3184654712677]",tensor(0.9215)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-4.089601039886475, -5.689000129699707, -1.270975947380066, -3.347546339035034, 3.1445205211639404, 1.4655402898788452, 1.7146012783050537]",tensor(0.6943)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,4,"[-0.3942934572696686, -3.3787853717803955, -2.0170681476593018, -3.5297763347625732, 3.93172550201416, 2.708674669265747, -1.9182212352752686]",tensor(0.7609)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-1.2112864255905151, -2.1778366565704346, -3.1248629093170166, 1.0317963361740112, 1.6578774452209473, -1.2404245138168335, -1.0565391778945923]",tensor(0.5738)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-2.698627233505249, -0.8445624709129333, 0.2276449054479599, -5.513742923736572, -2.299832820892334, 9.877758026123047, -6.33816385269165]",tensor(0.9999)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,4,"[-1.6297587156295776, -3.3558123111724854, -4.83363676071167, 3.2911717891693115, 4.343444347381592, -2.0306310653686523, -3.7343738079071045]",tensor(0.7384)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,2,"[-3.786187171936035, -3.448920488357544, 6.997316837310791, -4.921173572540283, -4.9009833335876465, 2.5747315883636475, -0.9936679005622864]",tensor(0.9877)
fear_39557e046a2d525841885d5ec2371af7,40-49,Male,White,fear,2,5,"[-1.146506667137146, -4.759416580200195, -3.58591365814209, -7.424371242523193, 4.249908924102783, 6.341408729553223, -1.9684520959854126]",tensor(0.8894)
happy_02a9db2ba06584040b93452eb83223a8,70+,Female,White,happy,3,3,"[-3.5260863304138184, -2.577068328857422, -2.108379602432251, 6.360026836395264, -3.101212501525879, -1.8779524564743042, 0.88446444272995]",tensor(0.9951)
angry_12d16864047ae490e5a6856daa9cba20,20-29,Male,White,angry,0,4,"[-2.4384520053863525, -4.957386493682861, -5.379465579986572, 1.7155486345291138, 9.611766815185547, -3.3677632808685303, -2.914306879043579]",tensor(0.9996)
sad_dd3d9f690b55b0595e69952b82f47237,20-29,Female,White,sad,5,3,"[-3.585759401321411, -1.8981728553771973, -2.789699077606201, 4.689720630645752, -1.8078231811523438, 2.441462755203247, -4.02837610244751]",tensor(0.9013)
sad_d8828cde6855e18c8a87bed6af0d1510,20-29,Female,White,sad,5,5,"[-0.32392480969429016, -1.5165300369262695, -2.1801581382751465, 0.8143600225448608, -2.8493988513946533, 3.046689748764038, -4.313658714294434]",tensor(0.8615)
sad_abcecb40c3d45bc9ed36256231b81a92,20-29,Male,White,sad,5,4,"[-1.9123742580413818, -4.257006645202637, -4.316225051879883, -0.3884875476360321, 5.554736614227295, -0.4880889654159546, -0.9390856027603149]",tensor(0.9929)
angry_565cf5ca201f3b3202bd8bf46e10d011,20-29,Male,White,angry,0,4,"[-0.37476804852485657, -4.535996913909912, -4.653374195098877, -3.465747833251953, 6.50983190536499, 1.9737075567245483, -2.2854483127593994]",tensor(0.9882)
