id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[7.597442626953125, 6.23433780670166, -5.132650375366211, -8.324400901794434, -5.242964744567871, -2.5927371978759766, -6.511223793029785]",tensor(0.7962)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[3.8179476261138916, -7.494611740112305, -12.672296524047852, -6.804978847503662, 5.134252071380615, -0.7406194806098938, -5.410356521606445]",tensor(0.7868)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,5,"[-2.195502281188965, -7.535831928253174, -5.411296844482422, -0.5987999439239502, 2.557716131210327, 4.1471052169799805, -8.662203788757324]",tensor(0.8233)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-0.5135482549667358, -9.763158798217773, -11.785459518432617, 0.6524077653884888, -0.7531133890151978, 9.158685684204102, -8.111531257629395]",tensor(0.9997)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-1.5116232633590698, -1.630263328552246, -5.814715385437012, -4.123652458190918, 3.8104727268218994, -2.7951784133911133, -2.6069278717041016]",tensor(0.9875)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-4.395114421844482, -3.3847405910491943, -0.7939449548721313, -4.269091606140137, -2.9644174575805664, 5.367192268371582, -3.539574384689331]",tensor(0.9972)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-6.873347759246826, -4.7460222244262695, -9.961191177368164, -6.1817097663879395, 10.70083999633789, 2.3061318397521973, -6.20085334777832]",tensor(0.9998)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,2,"[0.24649706482887268, -8.350345611572266, 5.550364017486572, -5.4589643478393555, -3.520799160003662, -4.3886871337890625, 2.9359099864959717]",tensor(0.9273)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[0.8257916569709778, 6.68165397644043, -6.120312690734863, -5.6952714920043945, 1.0578535795211792, -0.588814377784729, -8.613362312316895]",tensor(0.9929)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[5.528993129730225, -1.182707667350769, -2.4321677684783936, -0.5694169402122498, -6.385200023651123, -7.088940143585205, -1.121234655380249]",tensor(0.9949)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-1.8646003007888794, -7.488918781280518, -7.284551620483398, 1.258689045906067, 4.949700832366943, -0.0035108663141727448, -6.538987159729004]",tensor(0.9679)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,5,"[-0.0059145172126591206, -7.483076572418213, -8.129962921142578, 1.852592945098877, 1.6836137771606445, 3.179931640625, -8.236598014831543]",tensor(0.6534)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[9.767908096313477, -9.154193878173828, 2.8298966884613037, -1.1289072036743164, -8.185474395751953, -4.6954450607299805, -3.7495691776275635]",tensor(0.9990)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-3.221555471420288, -4.356789588928223, -1.8550798892974854, 3.765671730041504, -2.37980055809021, -1.6884057521820068, -2.2379746437072754]",tensor(0.9865)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-1.990930199623108, -9.926276206970215, -3.3157811164855957, -4.9760260581970215, 2.2872867584228516, -1.8372451066970825, -1.2626571655273438]",tensor(0.9406)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,5,"[0.583892285823822, -3.086153030395508, -4.288095951080322, -5.055267333984375, 1.8806630373001099, 2.560016393661499, -2.1937320232391357]",tensor(0.6027)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,3,"[-5.980259895324707, -5.047052383422852, -3.937589168548584, 3.2072691917419434, 2.357088804244995, -6.682888031005859, -0.861758291721344]",tensor(0.6917)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-0.8646138310432434, -7.38803768157959, -6.176780700683594, -2.8319289684295654, -1.6687570810317993, 11.924546241760254, -11.479414939880371]",tensor(1.0000)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,5,"[-1.3970675468444824, -11.33395767211914, -8.127696990966797, 1.5106350183486938, 1.6782363653182983, 2.102935552597046, -5.044116020202637]",tensor(0.4468)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,2,"[-0.5760003328323364, -6.242560863494873, 8.09878158569336, -6.809591770172119, -5.006702899932861, 2.222599983215332, -5.136990547180176]",tensor(0.9970)
fear_39557e046a2d525841885d5ec2371af7,40-49,Male,White,fear,2,4,"[0.9662052392959595, -9.929569244384766, -5.6918487548828125, -9.473708152770996, 8.271200180053711, -1.210498332977295, -3.589965581893921]",tensor(0.9992)
happy_02a9db2ba06584040b93452eb83223a8,70+,Female,White,happy,3,3,"[-6.730520248413086, -4.7087531089782715, -1.0014424324035645, 7.901158809661865, -5.299944877624512, -4.59685754776001, -1.148354411125183]",tensor(0.9997)
angry_12d16864047ae490e5a6856daa9cba20,20-29,Male,White,angry,0,3,"[-4.685318470001221, -5.054858207702637, -8.880873680114746, 5.1381306648254395, 4.271364688873291, -3.4161088466644287, -3.1657772064208984]",tensor(0.7038)
sad_dd3d9f690b55b0595e69952b82f47237,20-29,Female,White,sad,5,5,"[-3.589250087738037, -4.096189022064209, -4.2223734855651855, 0.20370697975158691, -3.8024072647094727, 7.447038650512695, -6.287489891052246]",tensor(0.9992)
sad_d8828cde6855e18c8a87bed6af0d1510,20-29,Female,White,sad,5,3,"[-2.897918462753296, -2.6606664657592773, -2.6184229850769043, 3.792483329772949, -4.4771504402160645, -0.34178441762924194, -3.5719919204711914]",tensor(0.9791)
sad_abcecb40c3d45bc9ed36256231b81a92,20-29,Male,White,sad,5,4,"[-1.3604176044464111, -4.23153018951416, -6.852166175842285, -2.365818500518799, 4.51524543762207, -1.0318834781646729, -4.4807281494140625]",tensor(0.9920)
angry_565cf5ca201f3b3202bd8bf46e10d011,20-29,Male,White,angry,0,4,"[1.1352583169937134, -6.207126617431641, -7.704737186431885, -0.759502112865448, 4.677236080169678, -2.6412851810455322, -3.8094098567962646]",tensor(0.9669)
neutral_43d0852bcf5dc649d42bbc5a84cb08b3,20-29,Female,White,neutral,4,4,"[-1.4827121496200562, -6.511393070220947, -4.275687217712402, -2.5636610984802246, 3.741004705429077, -0.2877192199230194, -2.1226630210876465]",tensor(0.9726)
happy_696cd15844d851ff470324433d58a4b0,20-29,Male,White,happy,3,3,"[-7.258178234100342, -7.605456352233887, -7.2922492027282715, 8.104475975036621, 1.722409963607788, -3.9321677684783936, -4.1305975914001465]",tensor(0.9983)
disgust_c29db77f146467675b9a547a32f78fe2,30-39,Male,Middle Eastern,disgust,1,2,"[-2.431358575820923, -1.970465898513794, 2.7383172512054443, -8.087320327758789, 2.1641972064971924, -4.3640570640563965, -1.8747901916503906]",tensor(0.6295)
neutral_0476ad07c5310846beeff6457b2bf43a,30-39,Male,White,neutral,4,4,"[-5.111545085906982, -10.795075416564941, -8.744160652160645, -0.33266007900238037, 8.639214515686035, -6.79582405090332, -6.335120677947998]",tensor(0.9999)
neutral_3d9f9c418a11c8a91b213f5496d97533,00-02,Female,East Asian,neutral,4,4,"[-8.464052200317383, -7.497259616851807, -1.2807890176773071, -4.358596324920654, 4.113635063171387, 0.7255985140800476, 1.2554782629013062]",tensor(0.9125)
sad_652893c8033269a4b24b6b364cdabb83,03-09,Female,White,sad,5,5,"[-2.0275089740753174, -6.724808692932129, -2.4524898529052734, -3.178715705871582, -3.514190435409546, 10.800148010253906, -9.319295883178711]",tensor(1.0000)
angry_9b1fd1d4116b851364760884d7054205,20-29,Male,White,angry,0,0,"[6.713843822479248, -0.4363122284412384, 1.7055004835128784, -0.2989319860935211, -7.288371562957764, -7.075803279876709, -4.845630168914795]",tensor(0.9917)
neutral_d15d502b9f88281164f98e049d82925d,40-49,Male,White,neutral,4,4,"[-1.1034421920776367, -3.3456902503967285, -3.3501577377319336, -5.360679626464844, 3.760063409805298, 1.1747703552246094, -3.548771858215332]",tensor(0.9212)
fear_520946fe2484192e409466f3000b1336,40-49,Male,Latino_Hispanic,fear,2,4,"[1.1883859634399414, -5.278597831726074, -3.748065233230591, -3.4377079010009766, 2.7479920387268066, -3.197974443435669, -2.905358076095581]",tensor(0.8195)
happy_41e82c1791f48cca03c7421aeb8dcf40,10-19,Female,Black,happy,3,3,"[-4.725481986999512, -3.1136486530303955, -6.187923431396484, 8.980965614318848, -1.7411094903945923, -5.8458404541015625, -4.0736165046691895]",tensor(1.0000)
