id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,1,"[7.194388389587402, 7.454489231109619, -2.874507427215576, -6.575882434844971, -6.192127227783203, -0.972145676612854, -5.736459255218506]",tensor(0.5646)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[1.5203776359558105, -6.808321952819824, -7.08645486831665, -7.790755271911621, 6.026186466217041, 3.5186851024627686, -6.958380222320557]",tensor(0.9153)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-3.8363609313964844, -8.675865173339844, -3.133936643600464, -3.2111074924468994, 1.1803948879241943, 0.7342294454574585, 0.08431889116764069]",tensor(0.4983)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-5.2445068359375, -1.686146855354309, -8.539527893066406, -5.489264011383057, 0.2960767447948456, 9.83993148803711, -8.075419425964355]",tensor(0.9999)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-2.0792319774627686, -3.2480173110961914, -2.344783067703247, -4.079464912414551, 3.6765544414520264, -2.9183201789855957, -2.0106000900268555]",tensor(0.9884)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-7.518886566162109, -5.2129130363464355, -0.9046603441238403, -4.82195520401001, 0.6750085353851318, 6.189248085021973, -2.7753281593322754]",tensor(0.9950)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,5,"[-2.1243481636047363, -9.1886625289917, -10.090289115905762, -5.291302680969238, 6.882750988006592, 8.219401359558105, -8.49465274810791]",tensor(0.7919)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,2,"[-1.6929051876068115, -8.898499488830566, 6.300319671630859, -4.873122692108154, -2.607755184173584, -5.913967609405518, 3.7729334831237793]",tensor(0.9256)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[1.516998052597046, 10.018407821655273, -2.7799336910247803, -6.208484649658203, -3.1201744079589844, -1.017903447151184, -6.612796783447266]",tensor(0.9998)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[8.0553617477417, 2.1998825073242188, -2.441776752471924, -2.0677452087402344, -4.4524335861206055, -6.433609485626221, -1.8973151445388794]",tensor(0.9970)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-3.6368839740753174, -10.323049545288086, -9.098849296569824, 5.419106483459473, 6.8056745529174805, -2.38045597076416, -7.15589714050293]",tensor(0.8000)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,4,"[0.12426929175853729, -7.599574089050293, -5.505368709564209, -1.2909103631973267, 3.436408281326294, 1.6596314907073975, -6.475463390350342]",tensor(0.8233)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[6.996920108795166, -4.507861137390137, 0.12139952927827835, 2.864812135696411, -7.450563907623291, -4.215633869171143, -3.547236680984497]",tensor(0.9832)
