id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[10.425270080566406, 4.669441223144531, -6.08345890045166, -9.429004669189453, -5.658240795135498, -0.836631715297699, -7.245674133300781]",tensor(0.9968)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[-3.372490882873535, -8.0851469039917, -7.882144451141357, -7.338191509246826, 6.928832530975342, 3.530536413192749, -5.143444061279297]",tensor(0.9676)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,5,"[-7.762279033660889, -12.445047378540039, -6.903581142425537, -6.722933292388916, 4.614747524261475, 4.885814666748047, -2.8174593448638916]",tensor(0.5672)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-5.098386764526367, -7.858255863189697, -8.679854393005371, -6.203769207000732, 3.4154300689697266, 7.475294589996338, -6.553188800811768]",tensor(0.9830)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-0.5105234980583191, -2.121429204940796, -6.350227355957031, -4.98328161239624, 1.5298627614974976, 0.3248749375343323, -2.4795947074890137]",tensor(0.6777)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-7.5927581787109375, -2.0765223503112793, -2.596219778060913, -3.499985456466675, 0.6525976061820984, 4.0661725997924805, -4.597172260284424]",tensor(0.9643)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[3.7494194507598877, -5.991339683532715, -9.17042350769043, -9.050141334533691, 6.510628700256348, 2.4137651920318604, -8.56790542602539]",tensor(0.9261)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,2,"[-1.2896149158477783, -9.34841537475586, 6.742093563079834, -4.79971170425415, -3.0164523124694824, -5.330164909362793, 5.852242469787598]",tensor(0.7087)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[1.4952396154403687, 4.059920310974121, -6.6143269538879395, -2.2796404361724854, -3.818716526031494, 1.2120497226715088, -8.635261535644531]",tensor(0.8794)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[5.966493129730225, -0.06858135759830475, -4.689355373382568, -1.0682896375656128, -3.6733999252319336, -3.22485613822937, -4.999952793121338]",tensor(0.9965)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-3.571669340133667, -11.562994003295898, -8.429645538330078, 2.9862253665924072, 6.944885730743408, -0.3689022958278656, -7.333935737609863]",tensor(0.9806)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,4,"[-10.149553298950195, -6.8286919593811035, -6.815742492675781, 1.3344933986663818, 4.120112419128418, 3.703040361404419, -6.839228630065918]",tensor(0.5812)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[7.920138359069824, -5.650704383850098, -1.6984506845474243, 2.810728073120117, -5.656458377838135, -6.75255823135376, -2.963580846786499]",tensor(0.9939)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-7.168874740600586, -7.6858038902282715, -7.311511993408203, 1.3343377113342285, 1.185892939567566, -3.8310272693634033, -1.6835294961929321]",tensor(0.5216)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-7.192078113555908, -9.675251007080078, -6.372028350830078, -4.006438255310059, 4.313727378845215, -2.922734498977661, -0.12179271876811981]",tensor(0.9873)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,5,"[-5.934971332550049, -3.5647571086883545, -4.346557140350342, -5.175167083740234, 3.4212594032287598, 5.252569675445557, -2.7061517238616943]",tensor(0.8615)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-6.293692588806152, -3.5669314861297607, -0.9506034255027771, 0.47199153900146484, 1.144536018371582, -5.452359199523926, -0.29361850023269653]",tensor(0.5314)
