id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[7.609140872955322, 6.649203777313232, -5.400738716125488, -6.527223110198975, -4.927870273590088, -8.190218925476074, -3.7064483165740967]",tensor(0.7231)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[1.4872313737869263, -10.205519676208496, -8.102792739868164, -5.94232702255249, 6.016262531280518, 3.1370136737823486, -6.747847557067871]",tensor(0.9372)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-3.6673638820648193, -11.277626991271973, -2.612351417541504, -2.385709285736084, 5.498678207397461, -8.43425464630127, -2.186871290206909]",tensor(0.9988)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-2.383855104446411, -5.488072395324707, -4.315404891967773, -6.376317501068115, -0.29200661182403564, 8.27436637878418, -5.055323600769043]",tensor(0.9998)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-1.165023684501648, -0.9274492859840393, -4.178915023803711, -0.4901815354824066, 4.3657426834106445, -15.574213981628418, -0.35333043336868286]",tensor(0.9748)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-1.8400505781173706, -3.4227428436279297, -4.042720317840576, -3.273160457611084, -0.059660978615283966, 4.509277820587158, -3.47212290763855]",tensor(0.9868)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[0.05413846671581268, -6.6390557289123535, -7.986749172210693, -4.033975124359131, 9.17895221710205, -7.391183853149414, -4.040213584899902]",tensor(0.9999)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,6,"[-3.6312196254730225, -8.940415382385254, 6.879336833953857, -6.98939847946167, -1.4678905010223389, -10.625514030456543, 8.313400268554688]",tensor(0.8075)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,0,"[4.020502090454102, 1.1542567014694214, -4.357733726501465, -3.0292203426361084, -0.22009927034378052, -2.7234208583831787, -8.159921646118164]",tensor(0.9315)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[6.425497055053711, -0.9764188528060913, -2.6420912742614746, -1.85785973072052, -5.167755126953125, -6.0281782150268555, -0.5077428221702576]",tensor(0.9980)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-4.650359630584717, -9.810032844543457, -4.437497615814209, 1.3544493913650513, 6.7775983810424805, -3.0334274768829346, -5.441494941711426]",tensor(0.9955)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,4,"[-1.796871542930603, -5.420745849609375, -6.6789069175720215, 0.39924436807632446, 3.1630547046661377, 2.6180851459503174, -6.8423333168029785]",tensor(0.6060)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[5.850075721740723, -4.2892961502075195, 1.1554034948349, 2.3809654712677, -8.048441886901855, -6.508823394775391, -2.89559006690979]",tensor(0.9611)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-6.0994977951049805, -7.104383945465088, -3.475025177001953, 3.1814041137695312, 0.012233579531311989, -0.13526707887649536, -3.367846727371216]",tensor(0.9249)
