id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[3.455595016479492, 1.449070930480957, -1.4817795753479004, -6.285796165466309, -6.109129905700684, 1.1717122793197632, -3.0967111587524414]",tensor(0.8032)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[-1.0695672035217285, -9.489394187927246, -7.551231861114502, -3.1441900730133057, 6.486573696136475, 1.0626494884490967, -4.910711765289307]",tensor(0.9950)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-1.253584623336792, -12.092997550964355, -5.351275444030762, -0.0838787853717804, 3.4276905059814453, 0.20011506974697113, -2.738645553588867]",tensor(0.9250)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-6.412285804748535, -6.4073805809021, -4.663053512573242, -0.09083352237939835, 0.008208464831113815, 6.445084571838379, -6.883619785308838]",tensor(0.9969)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-3.2645764350891113, -8.010215759277344, -5.825538158416748, -0.7522175908088684, 4.162836074829102, -1.5586490631103516, 0.04137824475765228]",tensor(0.9733)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-0.6111922860145569, -3.9822845458984375, -3.626530647277832, -3.397444725036621, 0.7400185465812683, 1.8947608470916748, -3.655974864959717]",tensor(0.7080)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-3.5513272285461426, -14.062362670898438, -7.915792942047119, -7.160171031951904, 9.0878267288208, 3.358098030090332, -1.6023410558700562]",tensor(0.9967)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,6,"[-3.8377413749694824, -13.591870307922363, 6.127685070037842, -5.541059970855713, -2.332578659057617, -4.664684295654297, 8.03134822845459]",tensor(0.8703)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[0.5018101334571838, 4.100868225097656, -4.888882160186768, -2.1736576557159424, -0.4215991199016571, 0.5881258845329285, -6.946761131286621]",tensor(0.9345)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[6.661128997802734, -1.2162160873413086, -3.7950994968414307, -2.5445592403411865, -3.1863908767700195, -6.242875576019287, -0.5388389229774475]",tensor(0.9987)
